Year,Model,Units Sold,Vehicle Type,Usage Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Piaggio Ape E-City,22000,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Tata Nexon EV,61435,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,MG ZS EV,21464,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Mahindra XUV400,7104,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,BYD e6,2819,4W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ola S1,407553,2W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,TVS iQube,220512,2W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Bajaj Chetak,193460,2W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ather 450X,126173,2W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Hero Vida V1,43696,2W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Mahindra Treo,66509,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,YC Electric E-Rickshaw,43977,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Bajaj RE EV,41915,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Saera Mayuri,28293,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Dilli Electric E-Rickshaw,25043,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Mahindra Treo,66509,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,YC Electric E-Rickshaw,43977,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Bajaj RE EV,41915,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Saera Mayuri,28293,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Dilli Electric E-Rickshaw,25043,3W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Tata Nexon EV,61435,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,MG ZS EV,21464,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Mahindra XUV400,7104,4W,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,BYD e6,2819,4W,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
